,chq,faq
77,"   Doctor would like a better way to introduce the subject of sexually transmitted disease -- open rather than closed question -- to get the information she needs.  Now she asks ""Are you careful about protecting yourself against sexually transmitted diseases?""  Her question is whether there is a better way to ask this. ",   I wonder if this patient could have a rotator cuff thing?
78,   Are there better materials on natural family planning than what I have? ,   Are there better patient education materials on natural family planning than what I have?
79,   Are there better materials on natural family planning than what I have? ,"   Diabetic on insulin. Will new medications (Glucophage, acarbose) allow him to get off?"
80,   Can testes not being in the scrotum come from just being tense? ,   Can testes not being in the scrotum come from just being tense?
81,   Patient with hypertension and abdominal bruit.  Should I order an intravenous pyelogram? Hypertension ,   Patient with hypertension and abdominal bruit.  Should I order an intravenous pyelogram?
82,   Patient with hypertension and abdominal bruit.  Should I order an intravenous pyelogram? Hypertension ,   What is the cause and treatment of this old man's stomatitis?
83,   Patient is reluctant to take medications so I have been treating with smaller doses than I would with some other patients.  How do I control her hypertension and still get her cooperation? Hypertension ,   Patient reluctant to take medication. How to control hypertension and still get her cooperation?
84,   Patient is reluctant to take medications so I have been treating with smaller doses than I would with some other patients.  How do I control her hypertension and still get her cooperation? Hypertension ,   Why wasn't this patient very sick? (large empyema and Haemophilus influenza in sputum)
85,   He has had several ear infections and doesn't get over them completely -- (about 1 month duration).  Is there a particular organism I should be after?  Should I use another antibiotic than I use for an older child? Infection Communicable Diseases ,"   Several ear infections, doesn't get over them completely.  Which antibiotic now?"
86,   He has had several ear infections and doesn't get over them completely -- (about 1 month duration).  Is there a particular organism I should be after?  Should I use another antibiotic than I use for an older child? Infection Communicable Diseases ,   I wonder if this patient could have a rotator cuff thing?
87,"   At age 4 has had two simple bladder infections with no upper symptoms.  Question is should I just treat or do more evaluation of the cause? Cystitis Cystitis, Interstitial ","   Age 4 years, has had 2 bladder infections, just treat or workup for cause?"
88,"   At age 4 has had two simple bladder infections with no upper symptoms.  Question is should I just treat or do more evaluation of the cause? Cystitis Cystitis, Interstitial ","   Maneuver mentioned at continuing medical education course for vertigo, couldn't remember how to do it or name of it."
89,   Doctor X thinks he is probably just a normal 18 month old but would like to know if there are a certain number of respiratory infections that are considered normal for that age. Infection Communicable Diseases Respiratory Tract Infections ,   Probably a normal 18 month old but how many respiratory infections are normal?
90,   Doctor X thinks he is probably just a normal 18 month old but would like to know if there are a certain number of respiratory infections that are considered normal for that age. Infection Communicable Diseases Respiratory Tract Infections ,   How should I treat polymenorrhea in a 14-year-old girl?
91,"   Can Staphylococcus or Haemophilus influenza septicemia give the same clinical picture as streptococcal septicemia (fever, rash, joint pain, vomiting). Sepsis Toxemia Vomiting Postoperative Nausea and Vomiting Pain, Postoperative Pneumonia Meningitis Bacteremia Otitis Media Exanthema Exanthema Fever Q Fever Q Fever ",   Can Staphylococcus or Haemophilus influenza sepsis give same clinical picture as streptococcal septicemia?
92,"   Can Staphylococcus or Haemophilus influenza septicemia give the same clinical picture as streptococcal septicemia (fever, rash, joint pain, vomiting). Sepsis Toxemia Vomiting Postoperative Nausea and Vomiting Pain, Postoperative Pneumonia Meningitis Bacteremia Otitis Media Exanthema Exanthema Fever Q Fever Q Fever ",   Why did they cut out the Coccidiomycosis granuloma rather than treat it medically?
93,   What is the cause of this woman's long term head shaking (tremor)? Essential Tremor Tremor ,   What is the cause of this woman's long term head shaking (tremor)?
94,   What is the cause of this woman's long term head shaking (tremor)? Essential Tremor Tremor ,   What is the cause of this woman's long term head shaking (tremor)?
95,   What do you do with a lead level of 10 in an 11 month old which is borderline high?  What is the management besides getting them out of the spot? ,   What do you do with a lead level of 10 in an 11 month old?
96,   What do you do with a lead level of 10 in an 11 month old which is borderline high?  What is the management besides getting them out of the spot? ,   How should I treat polymenorrhea in a 14-year-old girl?
97,   I don't know what antibiotics he can't take because he's on a nevirapine study (nonnucleoside protease inhibitor) (Viramune). ,   What antibiotics can he take because he's on a nevirapine study?
98,   I don't know what antibiotics he can't take because he's on a nevirapine study (nonnucleoside protease inhibitor) (Viramune). ,   How should I treat polymenorrhea in a 14-year-old girl?
99,   What is Endolimax nana and should you treat it? Essential Tremor Tremor ,   Patient with diarrhea.  What is Endolimax nana (on stool sample) and should you treat it?
100,   What is Endolimax nana and should you treat it? Essential Tremor Tremor ,   What are the indications for getting a digoxin level?
101,   50-year-old man with Paget's disease.  Should I treat medically? Essential Tremor Tremor ,   50-year-old man with Paget's disease.  Should I treat medically?
102,"   A diabetic on insulin.  Will these new medications (Glucophage, acarbose) allow me to get off insulin?  Physician did not know answer. Retinal Diseases Diabetic Retinopathy ","   Diabetic on insulin. Will new medications (Glucophage, acarbose) allow him to get off?"
103,"   A diabetic on insulin.  Will these new medications (Glucophage, acarbose) allow me to get off insulin?  Physician did not know answer. Retinal Diseases Diabetic Retinopathy ",   Let's give these immunizations.  That's right isn't it?
104,"   A hospital nurse who never had chicken pox, negative titers, and frequently had to miss work, two years ago.  I don't know if there are any recommendations about giving chicken pox vaccine to susceptible health care workers. ","   Hospital nurse never had chicken pox, negative titers, should I give vaccine?"
105,"   A hospital nurse who never had chicken pox, negative titers, and frequently had to miss work, two years ago.  I don't know if there are any recommendations about giving chicken pox vaccine to susceptible health care workers. ",   What is the cause and treatment of this old man's stomatitis?
106,"   What do we do with mammogram, cholesterol, and pap smear screening in women over 70?  What is a good source that is both scientific and yet has common sense about what is cost effective and what Medicare will pay for? ","   What do we do with mammogram, cholesterol, and Papanicolaou smears in women over 70?"
107,"   What do we do with mammogram, cholesterol, and pap smear screening in women over 70?  What is a good source that is both scientific and yet has common sense about what is cost effective and what Medicare will pay for? ","   Patient, plate in hip, no murmur, needs subacute bacterial endocarditis prophylaxis before sees dentist?"
108,   How old should a child be before they can switch from whole milk to 2% milk? ,   How old should a child be before they can switch from whole milk to 2% milk?
109,   How old should a child be before they can switch from whole milk to 2% milk? ,   Boys' father has Marfan's Syndrome. Do these boys need further evaluation?
110,   Is it ever recommended these days in a young man with recurrent peptic ulcer disease to have a vagotomy?  Will his health maintenance organization pay for it? Peptic Ulcer Ulcer ,   Young man with recurrent peptic ulcer disease; do vagotomy?  Will health maintenance organization pay?
111,   Is it ever recommended these days in a young man with recurrent peptic ulcer disease to have a vagotomy?  Will his health maintenance organization pay for it? Peptic Ulcer Ulcer ,   Boys' father has Marfan's Syndrome. Do these boys need further evaluation?
112,   Is there any support group in this town for this patient who is going blind from macular degeneration? Macular Degeneration ,   Is there a support group here for this patient going blind from macular degeneration?
113,"   It's just the age old question, ""How do you convince someone they are depressed when they don't want to accept it?"" Depression Depressive Disorder ",   How to convince someone they are depressed when they don't want to accept it?
114,"   It's just the age old question, ""How do you convince someone they are depressed when they don't want to accept it?"" Depression Depressive Disorder ",   I wonder if this patient could have a rotator cuff thing?
115,   Is it possible for someone to get recurrent pelvic inflammatory disease without a new exposure?  She had it one year ago from an intrauterine device. Pelvic Inflammatory Disease Pelvic Infection ,   Is it possible for someone to get recurrent pelvic inflammatory disease without a new exposure?
116,   Is it possible for someone to get recurrent pelvic inflammatory disease without a new exposure?  She had it one year ago from an intrauterine device. Pelvic Inflammatory Disease Pelvic Infection ,   How should I treat polymenorrhea in a 14-year-old girl?
117,   Could this patient with pelvic inflammatory disease and generalized abdominal pain have Fitz-Hugh-Curtis syndrome? Gastroparesis Abdominal Pain Gastroparesis Gastroparesis Abdominal Pain Gastroparesis Pelvic Inflammatory Disease Pelvic Infection ,"   Patient with pelvic inflammatory disease and generalized abdominal pain, is it Fitz-Hugh-Curtis syndrome?"
118,   Could this patient with pelvic inflammatory disease and generalized abdominal pain have Fitz-Hugh-Curtis syndrome? Gastroparesis Abdominal Pain Gastroparesis Gastroparesis Abdominal Pain Gastroparesis Pelvic Inflammatory Disease Pelvic Infection ,   Is melatonin good for anything?  What is the dose?
119,   What organisms can cause pelvic inflammatory disease if you don't think it's sexually transmitted? Pelvic Inflammatory Disease Pelvic Infection ,   What organisms can cause pelvic inflammatory disease if you don't think it's sexually transmitted?
120,   What organisms can cause pelvic inflammatory disease if you don't think it's sexually transmitted? Pelvic Inflammatory Disease Pelvic Infection ,   How should I treat polymenorrhea in a 14-year-old girl?
121,   What should you do with someone who is not getting better from epicondylitis after physical therapy and nonsteroidal anti-inflammatory drugs have not worked? Tennis Elbow ,   Patient not getting better from epicondylitis after physical therapy and nonsteroidal anti-inflammatory drugs; what to do?
122,   What should you do with someone who is not getting better from epicondylitis after physical therapy and nonsteroidal anti-inflammatory drugs have not worked? Tennis Elbow ,   How should I treat polymenorrhea in a 14-year-old girl?
123,"   Two months ago I saw a patient and all her aunts (5 or 6 of them) had ovarian cancer.  The question is, is there a study going on someplace I should refer her to? Ovarian Neoplasms Carcinoma, Ovarian Epithelial Ovarian Cancer Ovarian Epithelial Cancer Immunologic Deficiency Syndromes Graft vs Host Disease Severe Combined Immunodeficiency Tissue Adhesions Granulomatous Disease, Chronic Homologous Wasting Disease Severe Combined Immunodeficiency Chronic Granulomatous Disease ","   Patient, all her aunts (5 or 6) had ovarian cancer.  Is there a study to refer her to?"
124,"   Two months ago I saw a patient and all her aunts (5 or 6 of them) had ovarian cancer.  The question is, is there a study going on someplace I should refer her to? Ovarian Neoplasms Carcinoma, Ovarian Epithelial Ovarian Cancer Ovarian Epithelial Cancer Ovarian Neoplasms Carcinoma, Ovarian Epithelial Ovarian Cancer Ovarian Epithelial Cancer ","   What is the maximum dose of digoxin? (patient seen in emergency room, had digoxin level less than 0.03)"
125,"   Is there a review or an answer to whether patients with osteoporosis should get bone densitometry, because now we have Fosamax? Osteoporosis Fractures, Bone ","   Should patients with osteoporosis get bone densitometry, because now we have Fosamax?"
126,"   Is there a review or an answer to whether patients with osteoporosis should get bone densitometry, because now we have Fosamax? Osteoporosis Fractures, Bone ",   Is melatonin good for anything?  What is the dose?
127,   What are the various strengths of Synthroid and what is appropriate for this patient? ,   What are the strengths of Synthroid and what is appropriate for this patient?
128,   What are the various strengths of Synthroid and what is appropriate for this patient? ,   Let's give these immunizations.  That's right isn't it?
129,   What are the long-term options for treatment of hemorrhagic gastritis beyond H-2 blockers and antacids? Gastritis Gastrointestinal Hemorrhage Acute Disease ,   What are long-term options for hemorrhagic gastritis beyond H2 blockers?
130,   What are the long-term options for treatment of hemorrhagic gastritis beyond H-2 blockers and antacids? Gastritis Gastrointestinal Hemorrhage Acute Disease ,   Why did she get Coccidiomycosis?
131,   What are the side effects of Florinef?  Could it cause headaches? Cluster Headache Headache ,   What are the side effects of Florinef?  Could it cause headaches?
132,   What are the side effects of Florinef?  Could it cause headaches? Cluster Headache Headache ,   What are the indications for getting a digoxin level?
133,"   In this patient with back pain, how do you make a diagnosis of arachnoiditis and how do you treat it? Arachnoiditis Arachnoiditis Back Pain Low Back Pain ","   Patient with back pain, how to diagnose arachnoiditis and how to treat it?"
134,"   In this patient with back pain, how do you make a diagnosis of arachnoiditis and how do you treat it? Arachnoiditis Arachnoiditis Back Pain Low Back Pain ",   Why did they cut out the Coccidiomycosis granuloma rather than treat it medically?
135,   Is Aeromonas caviae pathogenic? ,   Is Aeromonas caviae pathogenic?
136,   What is the bulletin for patients with Crohn's disease and how do you get a patient on the mailing list for this? Crohn Disease ,   What is the bulletin for patients with Crohn's and how to get them on mailing list?
137,   Is there more support we can provide to patients with macular degeneration? Macular Degeneration ,   Is there more support we can provide patients with macular degeneration?
138,"   Will the fumes created by taking off a basal cell carcinoma with cautery affect the physician taking it off? Carcinoma Carcinoma, Basal Cell ",   Will fumes created by taking off a basal cell carcinoma with cautery affect the physician?
139,"   Will the fumes created by taking off a basal cell carcinoma with cautery affect the physician taking it off? Carcinoma Carcinoma, Basal Cell ",   How should I treat polymenorrhea in a 14-year-old girl?
140,   This patient complains that normal sounds sound too loud.  What should I do about that? ,   Patient complains that normal sounds sound too loud.  What should I do about that?
141,"   This patient has a history of irregular heart beat, bigeminy and trigeminy.  He's having a few brief runs occasionally now.  On Quinidine in the past.  Should I treat these? ",   Patient with bigeminy and trigeminy.  Should I treat these?
142,"   This patient has a history of irregular heart beat, bigeminy and trigeminy.  He's having a few brief runs occasionally now.  On Quinidine in the past.  Should I treat these? ",   How should I treat polymenorrhea in a 14-year-old girl?
143,"   In a patient with a history of rheumatic fever, do you need to use subacute bacterial endocarditis prophylaxis for pilonidal cyst excision? Cysts Pilonidal Sinus Cysts Pilonidal Sinus Endocarditis Endocarditis, Bacterial Infective Endocarditis ","   Patient with history of rheumatic fever, need subacute bacterial endocarditis prophylaxis for pilonidal cyst excision?"
144,"   In a patient with a history of rheumatic fever, do you need to use subacute bacterial endocarditis prophylaxis for pilonidal cyst excision? Cysts Pilonidal Sinus Fever Rheumatic Diseases Rheumatic Fever Rheumatic Fever Acute Articular Rheumatism Endocarditis Endocarditis, Bacterial Infective Endocarditis ",   Why did they cut out the Coccidiomycosis granuloma rather than treat it medically?
145,"   After starting treatment for a step throat, how long does the patient need to stay out of work or school? Pharyngitis ","   After starting treatment for streptococcal sore throat, how long to stay out of work or school?"
146,"   After starting treatment for a step throat, how long does the patient need to stay out of work or school? Pharyngitis ",   How should I treat polymenorrhea in a 14-year-old girl?
147,"   How long should you keep a patient with conjunctivitis out of school? Conjunctivitis Conjunctivitis, Viral ",   How long should you keep a patient with conjunctivitis out of school?
148,"   How long should you keep a patient with conjunctivitis out of school? Conjunctivitis Conjunctivitis, Viral ",   Boys' father has Marfan's Syndrome. Do these boys need further evaluation?
149,   How long should you wait after giving the digoxin dose before you get a digoxin level? ,   How long after giving the digoxin dose before you get a digoxin level?
150,   How long should you wait after giving the digoxin dose before you get a digoxin level? ,   What is the cause and treatment of this old man's stomatitis?
151,   Doctor X's question asked of Doctor Y.  This hospitalized patient with bilateral pleural effusions of unknown etiology now has confusion and a pCO2 of 50.  Is that pCO2 high enough to cause confusion?  (pO2 = 74) Confusion Consciousness Disorders Pleural Effusion ,"   Patient with pleural effusions, confusion, pCO2 50. Could that pCO2 explain confusion?"
152,   Doctor X's question asked of Doctor Y.  This hospitalized patient with bilateral pleural effusions of unknown etiology now has confusion and a pCO2 of 50.  Is that pCO2 high enough to cause confusion?  (pO2 = 74) Confusion Consciousness Disorders Pleural Effusion ,   Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?
153,   How long should you leave a patient on Coumadin AND heparin?  Can I stop the heparin as soon as the protime is therapeutic? ,   How long to leave patient on Coumadin AND heparin?  Stop heparin when protime okay?
154,   How long should you leave a patient on Coumadin AND heparin?  Can I stop the heparin as soon as the protime is therapeutic? ,   What are the indications for getting a digoxin level?
155,   How soon should you ambulate a patient with a deep vein thrombosis? Thrombosis ,   How soon should you ambulate a patient with a deep vein thrombosis?
156,   How soon should you ambulate a patient with a deep vein thrombosis? Thrombosis ,   Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?
157,   How old is it still safe to give a woman birth control pills? ,   How old is it still safe to give a woman birth control pills?
158,   What is good treatment for aphthous ulcers in the mouth? Ulcer Diabetic Foot Foot Ulcer ,   What is good treatment for aphthous ulcers in the mouth?
159,"   What should you do for asymptomatic carotid bruits or bruits in general?  Folic acid?,  Vitamin B1?  Aspirin? ",   What to do for asymptomatic carotid bruits or carotid bruits in general?
160,"   What should you do for asymptomatic carotid bruits or bruits in general?  Folic acid?,  Vitamin B1?  Aspirin? ",   Should we do a head CT (computerized tomography) with contrast tomorrow (Saturday) or MRI (magnetic resonance imaging) Monday?
161,   What are the criteria for obsessive compulsive disorder in a male teenager (he's been doing a lot of handwashing and so on)? Compulsive Personality Disorder Obsessive-Compulsive Disorder ,"   What are criteria for obsessive compulsive disorder in male teenager, doing lots of handwashing and so on?"
162,   Is obsessive compulsive disorder hereditary (mother has the diagnosis)? Compulsive Personality Disorder Obsessive-Compulsive Disorder ,   Is obsessive compulsive disorder hereditary (mother has the diagnosis)?
163,   Obstetric patient had an ultrasound and the estimated fetal weight on the ultrasound was in grams.  I would have liked to know what is was in pounds so I could tell the mother. ,   Estimated fetal weight on ultrasound in grams; what is it in pounds so I can tell mother?
164,   Obstetric patient had an ultrasound and the estimated fetal weight on the ultrasound was in grams.  I would have liked to know what is was in pounds so I could tell the mother. ,   Let's give these immunizations.  That's right isn't it?
165,"   What is the diagnosis for this rash that looks like impetigo, comes every April and May? Exanthema Impetigo ","   What is this rash, looks like impetigo, comes every April and May?"
