chq,faq,Entities,labels
   At what ages should you do a Denver Developmental Screening Test?,"
   Boys' father has Marfan's Syndrome. Do these boys need further evaluation?
",[],0
What is the maximum dose of digoxin? (patient seen in emergency room had digoxin level less than 0.03),"What is the maximum dose of digoxin? (patient seen in emergency room, had digoxin level less than 0.03)",['digoxin'],1
What is the maximum dose of digoxin? (patient seen in emergency room had digoxin level less than 0.03),How should I treat polymenorrhea in a 14-year-old girl?,['digoxin'],0
   What size pills does digoxin come in?,"
   What size pills does digoxin come in?
",['digoxin'],1
   What size pills does digoxin come in?,"
   Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?
",['digoxin'],0
   What are the indications for getting a digoxin level?,"
   What are the indications for getting a digoxin level?
",['digoxin'],1
   What are the indications for getting a digoxin level?,"
   Why did she get Coccidiomycosis?
",['digoxin'],0
"   Why wasn't this patient very sick?  (patient with large empyema and Haemophilus influenza in sputum, no growth from empyema fluid.)","
   Why wasn't this patient very sick? (large empyema and Haemophilus influenza in sputum)
","['empyema', 'sputum', 'Haemophilus influenza']",1
"   Why wasn't this patient very sick?  (patient with large empyema and Haemophilus influenza in sputum, no growth from empyema fluid.)",How should I treat polymenorrhea in a 14-year-old girl?,"['empyema', 'sputum', 'Haemophilus influenza']",0
"   Is Serzone okay to give to someone with a partial gastrectomy, will it be absorbed?","
   Is Serzone okay to give to with a partial gastrectomy; that is, will it be absorbed?
",['someone'],1
   What is the dose of Sporanox?,"
   What is the dose of Sporanox?
",['Sporanox'],1
   What is the dose of Sporanox?,"
   Let's give these immunizations.  That's right isn't it?
",['Sporanox'],0
   Should we do a CT (computerized tomography) with contrast tomorrow (Saturday) or wait until Monday to do an MRI (magnetic resonance imaging) (when the machine on truck comes)?,"
   Should we do a head CT (computerized tomography) with contrast tomorrow (Saturday) or MRI (magnetic resonance imaging) Monday?
",[],1
   Should we do a CT (computerized tomography) with contrast tomorrow (Saturday) or wait until Monday to do an MRI (magnetic resonance imaging) (when the machine on truck comes)?,"
   How do you use Redux?  What are the indications?
",[],0
   What is the dose of Famvir?,"
   What is the dose of Famvir?
",['Famvir'],1
   What is the dose of Famvir?,How should I treat polymenorrhea in a 14-year-old girl?,['Famvir'],0
   What is the other drug besides Famvir and acyclovir for Herpes Zoster?,"
   What is the other drug besides Famvir and acyclovir for Herpes Zoster?
","['Famvir', 'Herpes Zoster', 'acyclovir']",1
   What is the other drug besides Famvir and acyclovir for Herpes Zoster?,"
   Should we switch to Ancef for this diabetic foot ulcer? Improvement adequate?
","['Famvir', 'Herpes Zoster', 'acyclovir']",0
Obstetric patient at 39 weeks had little sore possible herpes.  How long after the lesion heals is it safe to let her deliver vaginally?,"Obstetric patient, 39 weeks had a little sore, ? herpes.  How long after she heals is it safe to do a vaginal delivery?","['herpes', 'sore']",1
Obstetric patient at 39 weeks had little sore possible herpes.  How long after the lesion heals is it safe to let her deliver vaginally?,"
   I wonder if this patient could have a rotator cuff thing?
","['herpes', 'sore']",0
"   There was this maneuver mentioned at a continuing medical education course for vertigo, but I couldn't remember how to do it or the name of it.","
   Maneuver mentioned at continuing medical education course for vertigo, couldn't remember how to do it or name of it.
",['vertigo'],1
"   There was this maneuver mentioned at a continuing medical education course for vertigo, but I couldn't remember how to do it or the name of it.","
   At what ages should you do a Denver Developmental Screening Test?
",['vertigo'],0
"   Does this patient with a plate in her hip, but no murmur, need subacute bacterial endocarditis prophylaxis before the dentist cleans her teeth?","
   Patient, plate in hip, no murmur, needs subacute bacterial endocarditis prophylaxis before sees dentist?
",['bacterial endocarditis'],1
"   Does this patient with a plate in her hip, but no murmur, need subacute bacterial endocarditis prophylaxis before the dentist cleans her teeth?","
   Let's give these immunizations.  That's right isn't it?
",['bacterial endocarditis'],0
   Can you use Prozac along with lithium?,"
   Can you use Prozac along with lithium?
","['lithium', 'Prozac']",1
   Can you use Prozac along with lithium?,"
   Boys' father has Marfan's Syndrome. Do these boys need further evaluation?
","['lithium', 'Prozac']",0
What is in Ortho Novum 1/35?,What is in Ortho Novum 1/35?,[],1
What is in Ortho Novum 1/35?,"
   Should we do a head CT (computerized tomography) with contrast tomorrow (Saturday) or MRI (magnetic resonance imaging) Monday?
",[],0
   How should you adjust the birth control pill if someone has spotting on it?,"
   How should you adjust the birth control pill if someone has spotting on it?
",['someone'],1
   How should you adjust the birth control pill if someone has spotting on it?,"
   On nonstress test after every acceleration brief sharp not deep deceleration. Important?
",['someone'],0
   What are the causes of tinnitus?,"
   What are the causes of tinnitus?
",['tinnitus'],1
   What are the causes of tinnitus?,How should I treat polymenorrhea in a 14-year-old girl?,['tinnitus'],0
   Could Procardia or Mevacor cause tinnitus?,"
   Could Procardia or Mevacor cause tinnitus?
",['tinnitus'],1
   Could Procardia or Mevacor cause tinnitus?,"
   Let's give these immunizations.  That's right isn't it?
",['tinnitus'],0
   I'm always uncomfortable with how quickly to move in terms of workup (patient had been having TIA (transient ischemic attack) symptoms for several weeks),"
   Patient with transient ischemic attacks; I'm always uncomfortable with how quickly to pursue a workup.
",['TIA'],1
"   In this patient with TIAs (transient ischemic attacks) and no cardiac murmur, should I do an echocardiogram anyway?","
   In this patient with transient ischemic attacks and no murmur, should I do an echocardiogram anyway?
","['ischemic attacks', 'TIAs']",1
"   In this patient with TIAs (transient ischemic attacks) and no cardiac murmur, should I do an echocardiogram anyway?","
   Boys' father has Marfan's Syndrome. Do these boys need further evaluation?
","['ischemic attacks', 'TIAs']",0
   This patient had a nonstress test one week ago and at the end of every acceleration there was a brief sharp spike not very deep deceleration.  Is this important?,"
   On nonstress test after every acceleration brief sharp not deep deceleration. Important?
",[],1
   This patient had a nonstress test one week ago and at the end of every acceleration there was a brief sharp spike not very deep deceleration.  Is this important?,"
   Why wasn't this patient very sick? (large empyema and Haemophilus influenza in sputum)
",[],0
   How should I workup this baby with a single umbilical artery?  Thirty percent of such babies have anomalies but where should I look if not obvious on physical exam?,"
   How should I workup this baby with a single umbilical artery?
",[],1
   Do I need to wait until the baby is a certain age before I do the renal ultrasound for single umbilical artery?,"
   Should I wait until baby certain age before I do renal ultrasound for single umbilical artery?
",[],1
"   This isn't a question but when I looked at her rash, I asked myself is it shingles or possibly staphylococcal impetigo?  It isn't worth the cost of a test to find out.","
   Is this rash shingles or staphylococcal impetigo?
","['rash', 'staphylococcal impetigo', 'shingles']",1
"   This isn't a question but when I looked at her rash, I asked myself is it shingles or possibly staphylococcal impetigo?  It isn't worth the cost of a test to find out.","
   Is melatonin good for anything?  What is the dose?
","['rash', 'staphylococcal impetigo', 'shingles']",0
The patient has been symptomatic with shingles for 4 days -- Can I still give Zovirax?,Has had shingles for 4 days -- Can I still give Zovirax?,['shingles'],1
The patient has been symptomatic with shingles for 4 days -- Can I still give Zovirax?,How should I treat polymenorrhea in a 14-year-old girl?,['shingles'],0
   What is a good steroid eye drop?,"
   What is a good steroid eye drop?
",['steroid'],1
   What is a good steroid eye drop?,"
   What is the dose of Sporanox?
",['steroid'],0
   What should I do with this patient whose biopsy report shows carcinoma in situ of the vulva?,"
   What to do with this patient, biopsy shows carcinoma in situ of the vulva?
",['carcinoma'],1
   What should I do with this patient whose biopsy report shows carcinoma in situ of the vulva?,"
   Boys' father has Marfan's Syndrome. Do these boys need further evaluation?
",['carcinoma'],0
   What is the dose of Neurontin?,"
   What is the dose of Neurontin?
",[],1
   What is the dose of Neurontin?,"
   I wonder if this patient could have a rotator cuff thing?
",[],0
Had shortness of breath which is unusual for her.  Doctor wishes she had access to a list of things that might cause shortness of breath in a normally healthy 28-year-old.  Concerned about pulmonary embolism.,Why is this otherwise healthy 28-year-old woman short of breath?,"['pulmonary embolism', 'shortness of breath']",1
Had shortness of breath which is unusual for her.  Doctor wishes she had access to a list of things that might cause shortness of breath in a normally healthy 28-year-old.  Concerned about pulmonary embolism.,"
   Let's give these immunizations.  That's right isn't it?
","['pulmonary embolism', 'shortness of breath']",0
"   Doctor would like a better way to introduce the subject of sexually transmitted disease -- open rather than closed question -- to get the information she needs.  Now she asks ""Are you careful about protecting yourself against sexually transmitted diseases?""  Her question is whether there is a better way to ask this.","
   Is there a better way to introduce the subject of sexually transmitted disease?
",['yourself'],1
"   Doctor would like a better way to introduce the subject of sexually transmitted disease -- open rather than closed question -- to get the information she needs.  Now she asks ""Are you careful about protecting yourself against sexually transmitted diseases?""  Her question is whether there is a better way to ask this.","
   I wonder if this patient could have a rotator cuff thing?
",['yourself'],0
   Are there better materials on natural family planning than what I have?,"
   Are there better patient education materials on natural family planning than what I have?
",[],1
   Are there better materials on natural family planning than what I have?,"
   Diabetic on insulin. Will new medications (Glucophage, acarbose) allow him to get off?
",[],0
   Can testes not being in the scrotum come from just being tense?,"
   Can testes not being in the scrotum come from just being tense?
",[],1
   Patient with hypertension and abdominal bruit.  Should I order an intravenous pyelogram?,"
   Patient with hypertension and abdominal bruit.  Should I order an intravenous pyelogram?
",['hypertension'],1
   Patient with hypertension and abdominal bruit.  Should I order an intravenous pyelogram?,"
   What is the cause and treatment of this old man's stomatitis?
",['hypertension'],0
   Patient is reluctant to take medications so I have been treating with smaller doses than I would with some other patients.  How do I control her hypertension and still get her cooperation?,"
   Patient reluctant to take medication. How to control hypertension and still get her cooperation?
",['hypertension'],1
   Patient is reluctant to take medications so I have been treating with smaller doses than I would with some other patients.  How do I control her hypertension and still get her cooperation?,"
   Why wasn't this patient very sick? (large empyema and Haemophilus influenza in sputum)
",['hypertension'],0
He has had several ear infections and doesn't get over them completely -- (about 1 month duration).  Is there a particular organism I should be after?  Should I use another antibiotic than I use for an older child?,"
   Several ear infections, doesn't get over them completely.  Which antibiotic now?
",['infections'],1
He has had several ear infections and doesn't get over them completely -- (about 1 month duration).  Is there a particular organism I should be after?  Should I use another antibiotic than I use for an older child?,"
   I wonder if this patient could have a rotator cuff thing?
",['infections'],0
At age 4 has had two simple bladder infections with no upper symptoms.  Question is should I just treat or do more evaluation of the cause?,"Age 4 years, has had 2 bladder infections, just treat or workup for cause?",['bladder infections'],1
At age 4 has had two simple bladder infections with no upper symptoms.  Question is should I just treat or do more evaluation of the cause?,"
   Maneuver mentioned at continuing medical education course for vertigo, couldn't remember how to do it or name of it.
",['bladder infections'],0
Doctor X thinks he is probably just a normal 18 month old but would like to know if there are a certain number of respiratory infections that are considered normal for that age.,Probably a normal 18 month old but how many respiratory infections are normal?,['respiratory infections'],1
Doctor X thinks he is probably just a normal 18 month old but would like to know if there are a certain number of respiratory infections that are considered normal for that age.,How should I treat polymenorrhea in a 14-year-old girl?,['respiratory infections'],0
"   Can Staphylococcus or Haemophilus influenza septicemia give the same clinical picture as streptococcal septicemia (fever, rash, joint pain, vomiting).","
   Can Staphylococcus or Haemophilus influenza sepsis give same clinical picture as streptococcal septicemia?
","['vomiting', 'Haemophilus influenza septicemia', 'fever', 'rash', 'Staphylococcus', 'pain', 'septicemia']",1
"   Can Staphylococcus or Haemophilus influenza septicemia give the same clinical picture as streptococcal septicemia (fever, rash, joint pain, vomiting).","
   Why did they cut out the Coccidiomycosis granuloma rather than treat it medically?
","['vomiting', 'Haemophilus influenza septicemia', 'fever', 'rash', 'Staphylococcus', 'pain', 'septicemia']",0
   What is the cause of this woman's long term head shaking (tremor)?,"
   What is the cause of this woman's long term head shaking (tremor)?
",['tremor'],1
   What is the cause of this woman's long term head shaking (tremor)?,"
   What is the cause of this woman's long term head shaking (tremor)?
",['tremor'],0
What do you do with a lead level of 10 in an 11 month old which is borderline high?  What is the management besides getting them out of the spot?,What do you do with a lead level of 10 in an 11 month old?,[],1
What do you do with a lead level of 10 in an 11 month old which is borderline high?  What is the management besides getting them out of the spot?,How should I treat polymenorrhea in a 14-year-old girl?,[],0
   I don't know what antibiotics he can't take because he's on a nevirapine study (nonnucleoside protease inhibitor) (Viramune).,"
   What antibiotics can he take because he's on a nevirapine study?
",['nevirapine'],1
   I don't know what antibiotics he can't take because he's on a nevirapine study (nonnucleoside protease inhibitor) (Viramune).,How should I treat polymenorrhea in a 14-year-old girl?,['nevirapine'],0
   What is Endolimax nana and should you treat it?,"
   Patient with diarrhea.  What is Endolimax nana (on stool sample) and should you treat it?
",['Endolimax nana'],1
   What is Endolimax nana and should you treat it?,"
   What are the indications for getting a digoxin level?
",['Endolimax nana'],0
50-year-old man with Paget's disease.  Should I treat medically?,50-year-old man with Paget's disease.  Should I treat medically?,"[""Paget's disease""]",1
"   A diabetic on insulin.  Will these new medications (Glucophage, acarbose) allow me to get off insulin?  Physician did not know answer.","
   Diabetic on insulin. Will new medications (Glucophage, acarbose) allow him to get off?
","['diabetic', 'acarbose']",1
"   A diabetic on insulin.  Will these new medications (Glucophage, acarbose) allow me to get off insulin?  Physician did not know answer.","
   Let's give these immunizations.  That's right isn't it?
","['diabetic', 'acarbose']",0
"   A hospital nurse who never had chicken pox, negative titers, and frequently had to miss work, two years ago.  I don't know if there are any recommendations about giving chicken pox vaccine to susceptible health care workers.","
   Hospital nurse never had chicken pox, negative titers, should I give vaccine?
",[],1
"   A hospital nurse who never had chicken pox, negative titers, and frequently had to miss work, two years ago.  I don't know if there are any recommendations about giving chicken pox vaccine to susceptible health care workers.","
   What is the cause and treatment of this old man's stomatitis?
",[],0
"What do we do with mammogram, cholesterol, and pap smear screening in women over 70?  What is a good source that is both scientific and yet has common sense about what is cost effective and what Medicare will pay for?","What do we do with mammogram, cholesterol, and Papanicolaou smears in women over 70?",['cholesterol'],1
"What do we do with mammogram, cholesterol, and pap smear screening in women over 70?  What is a good source that is both scientific and yet has common sense about what is cost effective and what Medicare will pay for?","
   Patient, plate in hip, no murmur, needs subacute bacterial endocarditis prophylaxis before sees dentist?
",['cholesterol'],0
How old should a child be before they can switch from whole milk to 2% milk?,How old should a child be before they can switch from whole milk to 2% milk?,[],1
How old should a child be before they can switch from whole milk to 2% milk?,"
   Boys' father has Marfan's Syndrome. Do these boys need further evaluation?
",[],0
   Is it ever recommended these days in a young man with recurrent peptic ulcer disease to have a vagotomy?  Will his health maintenance organization pay for it?,"
   Young man with recurrent peptic ulcer disease; do vagotomy?  Will health maintenance organization pay?
",['peptic ulcer disease'],1
   Is it ever recommended these days in a young man with recurrent peptic ulcer disease to have a vagotomy?  Will his health maintenance organization pay for it?,"
   Boys' father has Marfan's Syndrome. Do these boys need further evaluation?
",['peptic ulcer disease'],0
   Is there any support group in this town for this patient who is going blind from macular degeneration?,"
   Is there a support group here for this patient going blind from macular degeneration?
",['macular degeneration'],1
"   It's just the age old question, ""How do you convince someone they are depressed when they don't want to accept it?""","
   How to convince someone they are depressed when they don't want to accept it?
","['depressed', 'someone']",1
"   It's just the age old question, ""How do you convince someone they are depressed when they don't want to accept it?""","
   I wonder if this patient could have a rotator cuff thing?
","['depressed', 'someone']",0
   Is it possible for someone to get recurrent pelvic inflammatory disease without a new exposure?  She had it one year ago from an intrauterine device.,"
   Is it possible for someone to get recurrent pelvic inflammatory disease without a new exposure?
","['pelvic inflammatory disease', 'someone']",1
   Is it possible for someone to get recurrent pelvic inflammatory disease without a new exposure?  She had it one year ago from an intrauterine device.,How should I treat polymenorrhea in a 14-year-old girl?,"['pelvic inflammatory disease', 'someone']",0
   Could this patient with pelvic inflammatory disease and generalized abdominal pain have Fitz-Hugh-Curtis syndrome?,"
   Patient with pelvic inflammatory disease and generalized abdominal pain, is it Fitz-Hugh-Curtis syndrome?
","['abdominal pain', 'Fitz-Hugh-Curtis syndrome', 'pelvic inflammatory disease']",1
   Could this patient with pelvic inflammatory disease and generalized abdominal pain have Fitz-Hugh-Curtis syndrome?,"
   Is melatonin good for anything?  What is the dose?
","['abdominal pain', 'Fitz-Hugh-Curtis syndrome', 'pelvic inflammatory disease']",0
   What organisms can cause pelvic inflammatory disease if you don't think it's sexually transmitted?,"
   What organisms can cause pelvic inflammatory disease if you don't think it's sexually transmitted?
",['pelvic inflammatory disease'],1
   What organisms can cause pelvic inflammatory disease if you don't think it's sexually transmitted?,How should I treat polymenorrhea in a 14-year-old girl?,['pelvic inflammatory disease'],0
   What should you do with someone who is not getting better from epicondylitis after physical therapy and nonsteroidal anti-inflammatory drugs have not worked?,"
   Patient not getting better from epicondylitis after physical therapy and nonsteroidal anti-inflammatory drugs; what to do?
","['someone', 'epicondylitis']",1
   What should you do with someone who is not getting better from epicondylitis after physical therapy and nonsteroidal anti-inflammatory drugs have not worked?,How should I treat polymenorrhea in a 14-year-old girl?,"['someone', 'epicondylitis']",0
"Two months ago I saw a patient and all her aunts (5 or 6 of them) had ovarian cancer.  The question is, is there a study going on someplace I should refer her to?","Patient, all her aunts (5 or 6) had ovarian cancer.  Is there a study to refer her to?","['ovarian cancer', 'aunts']",1
"Two months ago I saw a patient and all her aunts (5 or 6 of them) had ovarian cancer.  The question is, is there a study going on someplace I should refer her to?","What is the maximum dose of digoxin? (patient seen in emergency room, had digoxin level less than 0.03)","['ovarian cancer', 'aunts']",0
"   Is there a review or an answer to whether patients with osteoporosis should get bone densitometry, because now we have Fosamax?","
   Should patients with osteoporosis get bone densitometry, because now we have Fosamax?
","['osteoporosis', 'Fosamax']",1
"   Is there a review or an answer to whether patients with osteoporosis should get bone densitometry, because now we have Fosamax?","
   Is melatonin good for anything?  What is the dose?
","['osteoporosis', 'Fosamax']",0
   What are the various strengths of Synthroid and what is appropriate for this patient?,"
   What are the strengths of Synthroid and what is appropriate for this patient?
",[],1
   What are the various strengths of Synthroid and what is appropriate for this patient?,"
   Let's give these immunizations.  That's right isn't it?
",[],0
What are the long-term options for treatment of hemorrhagic gastritis beyond H-2 blockers and antacids?,What are long-term options for hemorrhagic gastritis beyond H2 blockers?,"['hemorrhagic gastritis', 'antacids']",1
What are the long-term options for treatment of hemorrhagic gastritis beyond H-2 blockers and antacids?,"
   Why did she get Coccidiomycosis?
","['hemorrhagic gastritis', 'antacids']",0
   What are the side effects of Florinef?  Could it cause headaches?,"
   What are the side effects of Florinef?  Could it cause headaches?
",['headaches'],1
   What are the side effects of Florinef?  Could it cause headaches?,"
   What are the indications for getting a digoxin level?
",['headaches'],0
"   In this patient with back pain, how do you make a diagnosis of arachnoiditis and how do you treat it?","
   Patient with back pain, how to diagnose arachnoiditis and how to treat it?
","['back pain', 'arachnoiditis']",1
"   In this patient with back pain, how do you make a diagnosis of arachnoiditis and how do you treat it?","
   Why did they cut out the Coccidiomycosis granuloma rather than treat it medically?
","['back pain', 'arachnoiditis']",0
   Is Aeromonas caviae pathogenic?,"
   Is Aeromonas caviae pathogenic?
",[],1
   What is the bulletin for patients with Crohn's disease and how do you get a patient on the mailing list for this?,"
   What is the bulletin for patients with Crohn's and how to get them on mailing list?
","[""Crohn's disease""]",1
   Is there more support we can provide to patients with macular degeneration?,"
   Is there more support we can provide patients with macular degeneration?
",['macular degeneration'],1
   Will the fumes created by taking off a basal cell carcinoma with cautery affect the physician taking it off?,"
   Will fumes created by taking off a basal cell carcinoma with cautery affect the physician?
","['basal cell carcinoma', 'cautery']",1
   Will the fumes created by taking off a basal cell carcinoma with cautery affect the physician taking it off?,How should I treat polymenorrhea in a 14-year-old girl?,"['basal cell carcinoma', 'cautery']",0
   This patient complains that normal sounds sound too loud.  What should I do about that?,"
   Patient complains that normal sounds sound too loud.  What should I do about that?
",['complains'],1
"   This patient has a history of irregular heart beat, bigeminy and trigeminy.  He's having a few brief runs occasionally now.  On Quinidine in the past.  Should I treat these?","
   Patient with bigeminy and trigeminy.  Should I treat these?
",['Quinidine'],1
"   This patient has a history of irregular heart beat, bigeminy and trigeminy.  He's having a few brief runs occasionally now.  On Quinidine in the past.  Should I treat these?",How should I treat polymenorrhea in a 14-year-old girl?,['Quinidine'],0
"   In a patient with a history of rheumatic fever, do you need to use subacute bacterial endocarditis prophylaxis for pilonidal cyst excision?","
   Patient with history of rheumatic fever, need subacute bacterial endocarditis prophylaxis for pilonidal cyst excision?
","['pilonidal cyst excision', 'rheumatic fever', 'bacterial endocarditis']",1
"   In a patient with a history of rheumatic fever, do you need to use subacute bacterial endocarditis prophylaxis for pilonidal cyst excision?","
   Why did they cut out the Coccidiomycosis granuloma rather than treat it medically?
","['pilonidal cyst excision', 'rheumatic fever', 'bacterial endocarditis']",0
"   After starting treatment for a step throat, how long does the patient need to stay out of work or school?","
   After starting treatment for streptococcal sore throat, how long to stay out of work or school?
",['throat'],1
"   After starting treatment for a step throat, how long does the patient need to stay out of work or school?",How should I treat polymenorrhea in a 14-year-old girl?,['throat'],0
   How long should you keep a patient with conjunctivitis out of school?,"
   How long should you keep a patient with conjunctivitis out of school?
",['conjunctivitis'],1
   How long should you keep a patient with conjunctivitis out of school?,"
   Boys' father has Marfan's Syndrome. Do these boys need further evaluation?
",['conjunctivitis'],0
   How long should you wait after giving the digoxin dose before you get a digoxin level?,"
   How long after giving the digoxin dose before you get a digoxin level?
",['digoxin'],1
   How long should you wait after giving the digoxin dose before you get a digoxin level?,"
   What is the cause and treatment of this old man's stomatitis?
",['digoxin'],0
Doctor X's question asked of Doctor Y.  This hospitalized patient with bilateral pleural effusions of unknown etiology now has confusion and a pCO2 of 50.  Is that pCO2 high enough to cause confusion?  (pO2 = 74),"Patient with pleural effusions, confusion, pCO2 50. Could that pCO2 explain confusion?","['confusion', 'pleural effusions']",1
Doctor X's question asked of Doctor Y.  This hospitalized patient with bilateral pleural effusions of unknown etiology now has confusion and a pCO2 of 50.  Is that pCO2 high enough to cause confusion?  (pO2 = 74),"
   Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?
","['confusion', 'pleural effusions']",0
   How long should you leave a patient on Coumadin AND heparin?  Can I stop the heparin as soon as the protime is therapeutic?,"
   How long to leave patient on Coumadin AND heparin?  Stop heparin when protime okay?
",['heparin'],1
   How long should you leave a patient on Coumadin AND heparin?  Can I stop the heparin as soon as the protime is therapeutic?,"
   What are the indications for getting a digoxin level?
",['heparin'],0
   How soon should you ambulate a patient with a deep vein thrombosis?,"
   How soon should you ambulate a patient with a deep vein thrombosis?
",['thrombosis'],1
   How soon should you ambulate a patient with a deep vein thrombosis?,"
   Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?
",['thrombosis'],0
   How old is it still safe to give a woman birth control pills?,"
   How old is it still safe to give a woman birth control pills?
",[],1
   What is good treatment for aphthous ulcers in the mouth?,"
   What is good treatment for aphthous ulcers in the mouth?
",['ulcers'],1
"What should you do for asymptomatic carotid bruits or bruits in general?  Folic acid?,  Vitamin B1?  Aspirin?","
   What to do for asymptomatic carotid bruits or carotid bruits in general?
","['Vitamin B1', 'Folic acid', 'Aspirin']",1
"What should you do for asymptomatic carotid bruits or bruits in general?  Folic acid?,  Vitamin B1?  Aspirin?","
   Should we do a head CT (computerized tomography) with contrast tomorrow (Saturday) or MRI (magnetic resonance imaging) Monday?
","['Vitamin B1', 'Folic acid', 'Aspirin']",0
   What are the criteria for obsessive compulsive disorder in a male teenager (he's been doing a lot of handwashing and so on)?,"
   What are criteria for obsessive compulsive disorder in male teenager, doing lots of handwashing and so on?
",['obsessive compulsive disorder'],1
   Is obsessive compulsive disorder hereditary (mother has the diagnosis)?,"
   Is obsessive compulsive disorder hereditary (mother has the diagnosis)?
",['obsessive compulsive disorder hereditary'],1
   Obstetric patient had an ultrasound and the estimated fetal weight on the ultrasound was in grams.  I would have liked to know what is was in pounds so I could tell the mother.,"
   Estimated fetal weight on ultrasound in grams; what is it in pounds so I can tell mother?
",[],1
   Obstetric patient had an ultrasound and the estimated fetal weight on the ultrasound was in grams.  I would have liked to know what is was in pounds so I could tell the mother.,"
   Let's give these immunizations.  That's right isn't it?
",[],0
"   What is the diagnosis for this rash that looks like impetigo, comes every April and May?","
   What is this rash, looks like impetigo, comes every April and May?
","['rash', 'impetigo']",1
"   What is the diagnosis for this rash that looks like impetigo, comes every April and May?",How should I treat polymenorrhea in a 14-year-old girl?,"['rash', 'impetigo']",0
   This woman has Herpes zoster on her chest.  Which dermatome is it?,"
   This woman has Herpes zoster on her chest.  Which dermatome is it?
",['Herpes zoster'],1
   This woman has Herpes zoster on her chest.  Which dermatome is it?,"
   Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?
",['Herpes zoster'],0
This woman takes Premarin 0.625 milligrams for osteoporosis prophylaxis but she got sore breasts.  Is there a smaller size Premarin like 0.3 milligrams?,Patient got sore breasts from Premarin 0.625 milligrams.  Is there a smaller pill?,"['osteoporosis', 'sore']",1
